id,y,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20
1,1,-0.0101217,-0.0028783000000000003,0.00795071,-0.0121761,0.031754700000000004,-0.00283712,-0.00201822,0.027370699999999998,-0.0217037,-0.026519099999999997,-0.0114373,-0.00227907,0.022246400000000003,-0.028778199999999997,0.00361007,0.00458076,-0.00240379,-0.0103671,-0.013852200000000002,-0.00106775
2,0,-0.00636127,0.00445045,-0.00403961,-0.00932138,0.0231398,-0.0362685,-0.0327941,-0.00660314,-0.0130764,-0.0343334,0.0140284,-0.00974765,0.0357515,0.000631156,-0.0284296,0.0086265,0.031892500000000004,5.6283500000000004e-05,-0.025203200000000002,-0.013993
3,1,-0.023919799999999998,-0.00473126,0.0112265,0.00210178,0.00855101,-0.0126348,-0.0180876,-0.0161745,-0.0140281,-0.011723200000000001,-0.00901489,-0.00024323400000000002,0.0169044,-0.00078359,-0.031375,0.00157932,0.0199447,0.0021655999999999997,-0.0143067,0.013272399999999998
4,0,0.0629289,-0.0486515,-0.0226364,0.038082599999999994,0.0111288,0.0155519,0.030806200000000002,0.0218351,-0.0360237,0.024752,0.015538900000000001,-0.00787832,-0.014398699999999999,-0.0667674,-0.00431375,-0.0201756,-0.020868099999999997,0.018084299999999998,-0.0136208,-0.028094900000000003
5,0,0.0360984,0.028867400000000005,-0.0017408,0.0317347,0.0111539,0.00785272,0.014622899999999998,-0.0100531,-0.00715841,-0.00732199,-0.017144,-0.00747648,0.0181522,-0.0282814,0.011520200000000001,0.0158524,-0.0199149,-0.0166912,0.027884500000000003,-0.00393679
6,0,0.020747400000000003,0.00410878,0.0282409,-0.0299969,0.00582249,0.0128934,0.0166318,0.0165855,0.00587297,0.010894200000000001,-0.00323826,0.0206571,-0.00484589,0.014344399999999998,-0.00671633,0.00605774,-0.00399772,0.027417700000000003,0.0145324,-0.024665400000000004
7,1,-0.00706735,0.0224502,-0.00169278,-0.0136189,-0.00624847,0.024874900000000002,0.00947565,-0.0200402,0.028863200000000002,-0.00233308,-0.014163299999999998,0.0039257,-0.016486,0.0250725,-0.0099618,-0.0218433,-0.0162374,-0.0626859,-0.0156082,-0.0177917
8,0,0.026325799999999996,0.0126088,0.0190081,0.00509185,-0.044213300000000004,0.00793101,0.0104291,0.0323265,-0.011642200000000002,0.0136142,0.0785015,0.00981453,0.00794876,0.017879,0.00443836,-0.0229352,-0.0172712,-0.024813599999999998,-0.0178588,0.0261905
9,0,0.00301689,0.0231665,0.000986361,0.00704716,-0.0155917,-0.036536900000000004,-0.0321137,0.00566531,0.0180706,-0.026538599999999996,0.0383496,-0.022417700000000002,0.014269399999999998,-0.012616200000000001,0.029605799999999998,0.00365822,0.033056999999999996,0.00527879,-0.05546280000000001,0.00805474
10,1,-0.00599317,-0.000854649,0.00434327,-0.0270486,-0.0191394,-0.0149796,0.00859327,-0.014968299999999999,0.00717443,-0.0176065,-0.00661051,-0.0331204,-0.00629244,-0.0252748,-0.0591429,0.010676399999999999,0.0352644,-0.00517418,-0.0198121,0.00716674
11,1,-0.0234278,0.0102461,0.0247793,-0.0100661,0.00641063,0.014518200000000002,0.0634159,-0.030008999999999997,0.038796,-0.00208674,0.00201406,0.00885475,0.016944999999999998,0.016781900000000002,0.0139548,0.00362183,-0.00576077,-0.021741200000000002,-0.00497154,0.0330989
12,0,0.0482145,0.0361601,0.0173335,-0.0202952,0.00852787,0.01799,0.00717263,-0.036572900000000005,-0.015811500000000003,0.00781373,0.00649771,0.0333798,-0.0213612,0.0124411,0.014177100000000002,-0.0210348,-0.028121499999999997,0.00936636,0.0273712,0.0056754
13,0,0.023934599999999997,0.0245555,0.0107223,0.0252836,0.00785765,0.00549033,-0.000428302,0.0413593,0.0105294,0.0185157,0.00312394,0.0111308,0.0345899,0.0314876,-0.0079774,0.00570644,-0.0376983,-0.03656740000000001,0.00726955,0.022806
14,1,-0.016868900000000003,-0.000608912,0.0486868,0.00717529,0.00917035,-0.0286694,-0.027456,0.0254296,0.0224617,-0.026528700000000002,-0.0175597,-0.0405786,-0.0175102,-0.03759,-0.0274637,0.0286491,0.0241418,-0.00481998,-0.029171,-0.0168176
15,0,-0.00468931,-0.0167953,0.020487000000000002,-0.00379554,0.0158281,-0.0117664,-0.0129298,0.027117500000000003,-0.0336681,-0.0284251,0.044740300000000004,0.0235297,0.011649600000000001,0.012573200000000001,0.00131931,0.025816900000000004,-0.0191749,-0.0116932,-0.0336865,0.0066663
16,1,0.0492144,-0.022174799999999998,-0.00184952,0.0516264,-0.0185077,0.0262974,0.0149701,0.014495099999999999,0.0144015,0.00217536,-0.0280627,0.0116264,0.00149169,-0.0138748,0.00115105,-0.012920600000000003,-0.0038051,-0.0291664,-0.00888176,0.00587444
17,1,-0.00659793,0.0116815,0.00510347,-0.0006763339999999999,-0.00154244,-0.0381729,-0.027289400000000002,0.00407934,0.00839415,-0.0296865,0.0132782,-0.0194815,0.0286103,-0.0039561,-0.00281149,0.00686293,0.028974299999999998,0.0055,-0.0239042,-0.0119896
