# id,userId,itemId,rating
0,1566,5805,1
1,4095,3250,1
2,619,3221,1
3,1420,5134,1
4,4363,3402,1
5,2857,4240,1
6,3209,5784,1
7,236,4109,1
8,3620,5034,1
9,2382,5034,1
10,4943,3105,1
11,1177,5092,1
12,5236,4737,1
13,382,4298,1
14,2421,3323,1
15,321,3981,1
16,309,5338,1
17,5054,3084,1
18,825,4040,1
19,1018,5322,1
20,2279,5458,1
21,4774,5693,1
22,797,4708,1
23,233,3188,1
24,974,3032,1
25,1024,4980,1
26,3917,3101,1
27,4902,4034,1
28,1683,4741,1
29,1311,5777,1
30,4059,4865,1
31,4562,3775,1
32,172,4740,1
33,3785,3221,1
34,1868,5919,1
35,795,3879,1
36,2645,5506,1
37,2689,3294,1
38,1531,5813,1
39,1651,5171,1
40,116,4234,1
41,4662,3981,1
42,1637,4396,1
43,3518,3439,1
44,1058,5267,1
45,1370,4036,1
46,1960,3236,1
47,4818,3803,1
48,4940,5047,1
49,3074,3616,1
50,1219,5544,1
51,5074,4084,1
52,3812,4674,1
53,51,4681,1
54,22,3226,1
55,3054,5089,1
56,189,3293,1
57,4104,3185,1
58,2168,3789,1
59,2129,5120,1
60,65,5646,1
61,12,3358,1
62,4490,5358,1
63,656,3518,1
64,1856,3843,1
65,1510,5889,1
66,5298,3157,1
67,2770,3135,1
68,5242,5253,1
69,733,4281,1
70,4630,3762,1
71,3840,4908,1
72,709,4533,1
73,4503,5160,1
74,1862,4527,1
75,433,4681,1
76,2645,4329,1
77,2778,4162,1
78,5374,4005,1
79,891,5923,1
80,832,5346,1
81,2817,5681,1
82,4551,3985,1
83,41,4764,1
84,3645,3951,1
85,4454,3981,1
86,574,3769,1
87,2920,3175,1
88,2818,4012,1
89,3652,3006,1
90,3209,4447,1
91,5453,4104,1
92,4374,3844,1
93,217,3495,1
94,5194,4100,1
95,1928,5401,1
96,503,4997,1
97,1085,4968,1
98,2773,4528,1
99,5012,5989,1
100,4829,5123,1
101,43,3446,1
102,4786,3839,1
103,2003,3816,1
104,2258,5330,1
105,345,3404,1
106,2170,4518,1
107,4550,3624,1
108,5126,4097,1
109,3917,4969,1
110,3587,3981,1
111,2422,4053,1
112,2140,5461,1
113,760,3145,1
114,3479,3668,1
115,5018,4603,1
116,5198,4474,1
117,3723,4264,1
118,876,3893,1
119,1950,5621,1
120,1504,4206,1
121,349,5387,1
122,5077,3120,1
123,4481,4983,1
124,2571,3323,1
125,4436,4944,1
126,940,5456,1
127,511,4281,1
128,1839,4630,1
129,5334,3188,1
130,4924,3320,1
131,3734,4132,1
132,2239,5682,1
133,405,4808,1
134,3826,5793,1
135,1602,3386,1
136,3271,4940,1
137,1361,3628,1
138,1040,4996,1
139,3606,4024,1
140,5520,3235,1
141,1132,5250,1
142,1121,3981,1
143,977,4305,1
144,4393,3609,1
145,861,3609,1
146,2861,3981,1
147,2620,3543,1
148,709,3191,1
149,2717,3313,1
150,2653,3921,1
151,4013,4776,1
152,3870,5562,1
153,1024,3264,1
154,2328,4994,1
155,3039,5908,1
156,2902,5474,1
157,4917,5544,1
158,4881,4022,1
159,3163,3155,1
160,2564,4166,1
161,3293,3277,1
162,2823,3171,1
163,4837,5895,1
164,4455,3175,1
165,4357,3360,1
166,4350,4051,1
167,5472,5524,1
168,719,4432,1
169,1179,3269,1
170,2222,3659,1
171,2583,4227,1
172,5340,5689,1
173,4861,3770,1
174,107,4738,1
175,4234,3381,1
176,3491,5846,1
177,3115,5560,1
178,2541,5780,1
179,286,3220,1
180,1888,5604,1
181,5156,3393,1
182,1085,3873,1
183,3294,5492,1
184,3041,3831,1
185,2616,5192,1
186,4996,3721,1
187,2778,3525,1
188,4418,5120,1
189,4022,4854,1
190,3619,5403,1
191,512,3842,1
192,158,3445,1
193,3729,5772,1
194,4207,5787,1
195,2011,4252,1
196,2258,3015,1
197,1418,5771,1
198,2465,5900,1
199,4081,3012,1
200,4520,3182,1
201,1140,3051,1
202,5534,4319,1
203,1868,4944,1
204,183,5439,1
205,354,4988,1
206,1013,4130,1
207,1636,3534,1
208,2184,3078,1
209,1539,4780,1
210,3546,4756,1
211,333,4546,1
212,3767,5899,1
213,4029,3356,1
214,4015,5358,1
215,4220,3408,1
216,5340,4591,1
217,1645,4020,1
218,2774,3441,1
219,5498,5577,1
220,743,5400,1
221,4731,5891,1
222,3276,4812,1
223,1893,5023,1
224,992,3518,1
225,1636,3601,1
226,1451,5948,1
227,173,4896,1
228,1634,3427,1
229,1833,5129,1
230,4242,3523,1
231,49,5474,1
232,127,5609,1
233,211,3048,1
234,1446,5711,1
235,930,4865,1
236,5458,3899,1
237,3586,5926,1
238,433,5198,1
239,3364,3093,1
240,1644,3557,1
241,3436,3694,1
242,3350,3750,1
243,3624,3532,1
244,1032,3269,1
245,356,4020,1
246,4370,4414,1
247,1164,4547,1
248,3758,3830,1
249,4597,3699,1
250,5369,3088,1
251,4813,4247,1
252,2337,4281,1
253,5054,3128,1
254,5180,4904,1
255,4313,3422,1
256,388,3939,1
257,4763,3804,1
258,1362,5412,1
259,1372,5520,1
260,2790,4579,1
261,4720,3343,1
262,4831,3160,1
263,3236,3186,1
264,3878,4709,1
265,5087,3123,1
266,3209,4735,1
267,394,3264,1
268,5079,3739,1
269,2385,4421,1
270,3952,4515,1
271,5306,4713,1
272,3439,3150,1
273,1637,4438,1
274,4307,3706,1
275,5542,3605,1
276,3281,3590,1
277,1790,3746,1
278,5203,5588,1
279,867,3077,1
280,1502,3677,1
281,5197,5484,1
282,3063,5293,1
283,3017,4572,1
284,1950,5883,1
285,3346,4743,1
286,2997,5483,1
287,2190,5033,1
288,3826,5131,1
289,915,4326,1
290,3967,3547,1
291,2408,4819,1
292,5273,3084,1
293,3624,5994,1
294,961,3404,1
295,2424,5832,1
296,1957,5261,1
297,436,3410,1
298,2789,5709,1
299,1925,3769,1
300,4133,3738,1
301,382,5979,1
302,2628,4179,1
303,4013,5161,1
304,1580,5641,1
305,1804,3108,1
306,1343,5039,1
