0,3,3
1,5,2
2,4,2
3,5,1
4,4,3
5,0,2
6,3,5
7,1,1
8,4,3
9,2,0
10,5,0
11,1,2
12,1,1
13,2,3
14,4,1
15,4,4
16,4,4
17,2,5
18,1,5
19,5,0
20,2,0
21,2,5
22,0,2
23,3,2
24,3,3
25,1,2
26,1,4
27,3,2
28,0,3
29,4,0
30,2,3
31,0,0
32,2,2
33,4,5
34,5,3
35,5,3
36,5,5
37,1,5
38,0,0
39,1,5
40,1,2
41,1,1
42,0,3
43,4,3
44,0,3
45,3,5
46,2,3
47,3,4
48,3,1
49,2,2
50,2,3
51,1,4
52,1,5
53,3,2
54,0,5
55,3,0
56,4,0
57,3,2
58,2,1
59,2,5
60,5,5
61,3,1
62,3,1
63,1,1
64,1,4
65,2,0
66,0,4
67,0,3
68,3,0
69,0,4
70,4,1
71,4,2
72,3,0
73,0,0
74,4,5
75,1,3
76,2,5
77,2,3
78,5,1
79,3,0
80,2,1
81,5,1
82,0,0
83,3,1
84,4,0
85,0,4
86,1,4
87,3,5
88,3,1
89,3,0
90,5,0
91,4,4
92,2,5
93,4,1
94,3,4
95,2,1
96,4,2
97,0,2
98,3,2
99,1,4
100,0,5
101,5,1
102,3,5
103,4,3
104,3,1
105,4,0
106,3,1
107,3,0
108,3,1
109,2,5
110,5,3
111,4,5
112,4,1
113,2,3
114,4,2
115,5,4
116,2,3
117,1,5
118,1,1
119,5,3
120,4,5
121,0,1
122,3,5
123,3,0
124,5,0
125,5,3
126,4,3
127,5,3
128,4,5
129,3,5
130,1,5
131,1,5
132,2,2
133,5,3
134,2,1
135,5,2
136,1,5
137,0,4
138,1,2
139,3,0
140,5,4
141,4,1
142,1,0
143,4,3
144,4,5
145,3,1
146,3,2
147,4,0
148,2,4
149,2,4
150,4,5
151,1,2
152,5,0
153,3,1
154,4,4
155,0,2
156,2,3
157,0,2
158,1,3
159,4,3
160,1,2
161,4,5
162,3,2
163,3,2
164,3,0
165,3,1
166,5,0
167,4,4
168,0,0
169,5,3
170,0,0
171,0,5
172,4,3
173,4,2
174,4,0
175,4,3
176,0,1
177,0,0
178,1,1
179,0,4
180,0,3
181,2,1
182,0,5
183,5,3
184,1,5
185,5,5
186,0,3
187,2,3
188,2,5
189,1,3
190,5,1
191,3,5
192,0,5
193,0,5
194,0,3
195,3,3
196,0,4
197,0,2
198,5,3
199,3,0
200,1,4
201,3,3
202,4,1
203,4,2
204,5,1
205,4,2
206,3,0
207,1,5
208,3,0
209,2,5
210,3,4
211,5,1
212,2,0
213,4,5
214,3,2
215,5,5
216,0,4
217,2,5
218,0,1
219,4,5
220,2,0
221,5,1
222,3,2
223,0,1
224,4,0
225,3,2
226,5,3
227,5,2
228,5,3
229,2,0
230,2,1
231,1,2
232,2,4
233,3,4
234,5,2
235,1,1
236,2,0
237,0,4
238,5,2
239,4,3
240,3,0
241,3,5
242,2,5
243,1,0
244,3,5
245,2,1
246,3,0
247,2,4
248,5,3
249,0,5
250,1,4
251,4,4
252,3,5
253,5,4
254,2,4
255,0,4
256,2,5
257,0,1
258,1,0
259,3,4
260,3,4
261,4,0
262,3,3
263,3,4
264,2,5
265,2,0
266,4,2
267,3,2
268,2,4
269,2,3
270,1,4
271,4,2
272,5,3
273,1,2
274,2,2
275,3,0
276,3,5
277,3,1
278,5,2
279,3,5
280,2,3
281,2,4
282,4,0
283,0,4
284,0,4
285,3,5
286,5,0
287,1,2
288,4,5
289,1,3
290,5,1
291,1,4
292,3,0
293,5,4
294,1,3
295,0,4
296,3,5
297,5,5
298,4,1
299,5,5
