1,1,0:-0.0101217,1:-0.0028783,2:0.00795071,3:-0.0121761,4:0.0317547,5:-0.00283712,6:-0.00201822,7:0.0273707,8:-0.0217037,9:-0.0265191,10:-0.0114373,11:-0.00227907,12:0.0222464,13:-0.0287782,14:0.00361007,15:0.00458076,16:-0.00240379,17:-0.0103671,18:-0.0138522,19:-0.00106775
2,0,0:-0.00636127,1:0.00445045,2:-0.00403961,3:-0.009321380000000001,4:0.0231398,5:-0.0362685,6:-0.0327941,7:-0.00660314,8:-0.0130764,9:-0.0343334,10:0.0140284,11:-0.00974765,12:0.0357515,13:0.000631156,14:-0.0284296,15:0.0086265,16:0.0318925,17:5.62835e-05,18:-0.0252032,19:-0.013993
3,1,0:-0.0239198,1:-0.00473126,2:0.0112265,3:0.00210178,4:0.00855101,5:-0.0126348,6:-0.0180876,7:-0.0161745,8:-0.0140281,9:-0.0117232,10:-0.009014889999999999,11:-0.000243234,12:0.0169044,13:-0.00078359,14:-0.031375,15:0.00157932,16:0.0199447,17:0.0021656,18:-0.0143067,19:0.0132724
4,0,0:0.0629289,1:-0.0486515,2:-0.0226364,3:0.0380826,4:0.0111288,5:0.0155519,6:0.0308062,7:0.0218351,8:-0.0360237,9:0.024752,10:0.0155389,11:-0.007878319999999999,12:-0.0143987,13:-0.0667674,14:-0.00431375,15:-0.0201756,16:-0.0208681,17:0.0180843,18:-0.0136208,19:-0.0280949
5,0,0:0.0360984,1:0.0288674,2:-0.0017408,3:0.0317347,4:0.0111539,5:0.007852720000000001,6:0.0146229,7:-0.0100531,8:-0.00715841,9:-0.00732199,10:-0.017144,11:-0.00747648,12:0.0181522,13:-0.0282814,14:0.0115202,15:0.0158524,16:-0.0199149,17:-0.0166912,18:0.0278845,19:-0.00393679
6,0,0:0.0207474,1:0.00410878,2:0.0282409,3:-0.0299969,4:0.00582249,5:0.0128934,6:0.0166318,7:0.0165855,8:0.00587297,9:0.0108942,10:-0.00323826,11:0.0206571,12:-0.00484589,13:0.0143444,14:-0.00671633,15:0.00605774,16:-0.00399772,17:0.0274177,18:0.0145324,19:-0.0246654
7,1,0:-0.00706735,1:0.0224502,2:-0.00169278,3:-0.0136189,4:-0.00624847,5:0.0248749,6:0.00947565,7:-0.0200402,8:0.0288632,9:-0.00233308,10:-0.0141633,11:0.0039257,12:-0.016486,13:0.0250725,14:-0.0099618,15:-0.0218433,16:-0.0162374,17:-0.0626859,18:-0.0156082,19:-0.0177917
8,0,0:0.0263258,1:0.0126088,2:0.0190081,3:0.00509185,4:-0.0442133,5:0.00793101,6:0.0104291,7:0.0323265,8:-0.0116422,9:0.0136142,10:0.0785015,11:0.00981453,12:0.007948759999999999,13:0.017879,14:0.00443836,15:-0.0229352,16:-0.0172712,17:-0.0248136,18:-0.0178588,19:0.0261905
9,0,0:0.00301689,1:0.0231665,2:0.0009863610000000001,3:0.00704716,4:-0.0155917,5:-0.0365369,6:-0.0321137,7:0.00566531,8:0.0180706,9:-0.0265386,10:0.0383496,11:-0.0224177,12:0.0142694,13:-0.0126162,14:0.0296058,15:0.00365822,16:0.033057,17:0.00527879,18:-0.05546280000000001,19:0.008054739999999999
10,1,0:-0.00599317,1:-0.000854649,2:0.00434327,3:-0.0270486,4:-0.0191394,5:-0.0149796,6:0.00859327,7:-0.0149683,8:0.00717443,9:-0.0176065,10:-0.00661051,11:-0.0331204,12:-0.00629244,13:-0.0252748,14:-0.0591429,15:0.0106764,16:0.0352644,17:-0.00517418,18:-0.0198121,19:0.00716674
11,1,0:-0.0234278,1:0.0102461,2:0.0247793,3:-0.0100661,4:0.00641063,5:0.0145182,6:0.0634159,7:-0.030009,8:0.038796,9:-0.00208674,10:0.00201406,11:0.00885475,12:0.016945,13:0.0167819,14:0.0139548,15:0.00362183,16:-0.00576077,17:-0.0217412,18:-0.00497154,19:0.0330989
12,0,0:0.0482145,1:0.0361601,2:0.0173335,3:-0.0202952,4:0.00852787,5:0.01799,6:0.00717263,7:-0.03657290000000001,8:-0.0158115,9:0.00781373,10:0.00649771,11:0.0333798,12:-0.0213612,13:0.0124411,14:0.0141771,15:-0.0210348,16:-0.0281215,17:0.009366360000000001,18:0.0273712,19:0.0056754
13,0,0:0.0239346,1:0.0245555,2:0.0107223,3:0.0252836,4:0.007857650000000001,5:0.00549033,6:-0.000428302,7:0.0413593,8:0.0105294,9:0.0185157,10:0.00312394,11:0.0111308,12:0.0345899,13:0.0314876,14:-0.007977400000000001,15:0.00570644,16:-0.0376983,17:-0.03656740000000001,18:0.00726955,19:0.022806
14,1,0:-0.0168689,1:-0.000608912,2:0.0486868,3:0.00717529,4:0.009170350000000001,5:-0.0286694,6:-0.027456,7:0.0254296,8:0.0224617,9:-0.0265287,10:-0.0175597,11:-0.0405786,12:-0.0175102,13:-0.03759,14:-0.0274637,15:0.0286491,16:0.0241418,17:-0.00481998,18:-0.029171,19:-0.0168176
