id,node1,node2,value
0,0,0,0.1666666716337204
1,0,8,0.1666666716337204
2,0,14,0.1666666716337204
3,0,258,0.1666666716337204
4,0,435,0.1666666716337204
5,0,544,0.1666666716337204
6,1,1,0.5
7,1,344,0.5
8,2,2,0.20000000298023224
9,2,410,0.20000000298023224
10,2,471,0.20000000298023224
11,2,552,0.20000000298023224
12,2,565,0.20000000298023224
13,3,3,0.25
14,3,197,0.25
15,3,463,0.25
16,3,601,0.25
17,4,4,0.5
18,4,170,0.5
19,5,5,0.3333333432674408
20,5,490,0.3333333432674408
21,5,2164,0.3333333432674408
22,6,6,0.3333333432674408
23,6,251,0.3333333432674408
24,6,490,0.3333333432674408
25,7,7,0.5
26,7,258,0.5
27,8,0,0.1666666716337204
28,8,8,0.1666666716337204
29,8,14,0.1666666716337204
30,8,258,0.1666666716337204
31,8,435,0.1666666716337204
32,8,751,0.1666666716337204
33,9,9,0.20000000298023224
34,9,308,0.20000000298023224
35,9,453,0.20000000298023224
36,9,481,0.20000000298023224
37,9,761,0.20000000298023224
38,10,10,0.1666666716337204
39,10,192,0.1666666716337204
40,10,193,0.1666666716337204
41,10,280,0.1666666716337204
42,10,420,0.1666666716337204
43,10,519,0.1666666716337204
44,11,11,0.3333333432674408
45,11,624,0.3333333432674408
46,11,659,0.3333333432674408
47,12,12,0.3333333432674408
48,12,84,0.3333333432674408
49,12,155,0.3333333432674408
50,13,13,0.25
51,13,482,0.25
52,13,578,0.25
53,13,1234,0.25
54,14,0,0.05000000074505806
55,14,8,0.05000000074505806
56,14,14,0.05000000074505806
57,14,31,0.05000000074505806
58,14,232,0.05000000074505806
59,14,242,0.05000000074505806
60,14,258,0.05000000074505806
61,14,268,0.05000000074505806
62,14,384,0.05000000074505806
63,14,393,0.05000000074505806
64,14,400,0.05000000074505806
65,14,435,0.05000000074505806
66,14,437,0.05000000074505806
67,14,443,0.05000000074505806
68,14,544,0.05000000074505806
69,14,613,0.05000000074505806
70,14,708,0.05000000074505806
71,14,736,0.05000000074505806
72,14,746,0.05000000074505806
73,14,751,0.05000000074505806
74,15,15,0.09090909361839294
75,15,80,0.09090909361839294
76,15,129,0.09090909361839294
77,15,152,0.09090909361839294
78,15,234,0.09090909361839294
79,15,253,0.09090909361839294
80,15,254,0.09090909361839294
81,15,322,0.09090909361839294
82,15,399,0.09090909361839294
83,15,538,0.09090909361839294
84,15,701,0.09090909361839294
85,16,16,0.20000000298023224
86,16,466,0.20000000298023224
87,16,552,0.20000000298023224
88,16,566,0.20000000298023224
89,16,1697,0.20000000298023224
90,17,17,0.5
91,17,146,0.5
92,18,18,0.125
93,18,127,0.125
94,18,427,0.125
95,18,745,0.125
96,18,747,0.125
97,18,866,0.125
98,18,890,0.125
99,18,1932,0.125
100,19,19,0.3333333432674408
101,19,74,0.3333333432674408
102,19,571,0.3333333432674408
